p_true,J,rep,obs,MOM,MLE,ABC-MCMC,ABC-MCMC_cilen,ABC-MCMC_ci_lo,ABC-MCMC_ci_hi,ABC-MCMC_acc,GPS-ABC,GPS-ABC_cilen,GPS-ABC_ci_lo,GPS-ABC_ci_hi,GPS-ABC_acc,DNN-ABC,DNN-ABC_cilen,DNN-ABC_ci_lo,DNN-ABC_ci_hi,DNN-ABC_acc
0.0001,10,31,0.03257612665521138,0.0001787172836256734,0.00018945383984421302,0.0001601451698465018,0.0005734973839243637,1.0338216560351522e-05,0.0005838356004847152,0.5876460767946577,0.0002640606779732798,0.0006278892885404669,2.938122321779879e-05,0.0006572705117582657,0.8580968280467446,0.00017607593868548837,0.00047404813515546036,3.38132940847816e-05,0.000507861429240242,0.8864774624373957
0.0001,10,35,0.032505445416557845,0.0001367546666297681,0.00014474331236352783,0.00022637554024726344,0.00047982079438373197,5.926627790625922e-05,0.0005390870722899912,0.6110183639398998,0.00015452258063049617,0.0004604778498211512,4.0709532665556926e-05,0.0005011873824867082,0.8864774624373957,0.00010189415130483964,0.0003005482719316849,1.2632358176722265e-05,0.00031318063010840716,0.8864774624373957
0.0001,10,15,0.013707412736217301,2.4712940920434967e-05,2.6114924568213264e-05,2.903447469652903e-05,7.077965877525536e-05,1.0526200389480724e-05,8.130585916473608e-05,0.6828046744574291,2.7747717585451e-05,5.3000266809657044e-05,1.0271784514565904e-05,6.327205132422295e-05,0.9298831385642737,2.561898842865835e-05,5.328431126271542e-05,1.0180874280735142e-05,6.346518554345056e-05,0.9532554257095158
0.0001,10,30,0.01624373973139097,3.155205240068515e-05,3.338789569597501e-05,3.980903662341282e-05,0.0001717860770247506,1.0516718566935177e-05,0.00018230279559168576,0.6277128547579299,5.713182813512077e-05,0.00020330540278414963,1.075019045019976e-05,0.0002140555932343494,0.9131886477462438,7.274443652164628e-05,0.00020312446294456127,1.2999235625313062e-05,0.00021612369856987434,0.8797996661101837
0.0001,10,0,0.008941173291010419,1.4350511230443175e-05,1.5219203039666336e-05,2.0464622335671446e-05,3.507091186114179e-05,1.0683328014710182e-05,4.575423987585197e-05,0.6961602671118531,2.3192415192527996e-05,6.03640549806925e-05,1.0254556473989386e-05,7.061861145468188e-05,0.8230383973288815,2.0550050080529345e-05,4.445320540846324e-05,1.0319183231152243e-05,5.477238863961548e-05,0.8096828046744574
0.0001,10,1,0.002967231695705852,3.894478683375002e-06,4.140057900139862e-06,1.777173060940552e-05,2.8931318003894767e-05,1.0052926315197192e-05,3.898424431909196e-05,0.2938230383973289,1.295064628939188e-05,1.2374102627862475e-05,1.0174137071900931e-05,2.2548239699763407e-05,0.5575959933222037,1.4228705766965406e-05,2.4129422510391334e-05,1.0056039420107705e-05,3.418546193049904e-05,0.5826377295492488
0.0001,10,20,0.007253239954881649,7.123539950304458e-06,7.554414748874977e-06,2.037410390487389e-05,2.649105291346736e-05,1.0431850579255967e-05,3.692290349272333e-05,0.667779632721202,2.4716044151458326e-05,5.7150561790494475e-05,1.017636657663869e-05,6.732692836713317e-05,0.7829716193656093,2.1269060418823467e-05,5.315101935305576e-05,1.0037833368141913e-05,6.318885272119767e-05,0.7729549248747913
0.0001,10,29,0.023972964472036572,7.183140983979541e-05,7.603883877424768e-05,5.956218772874933e-05,0.00028158309568797454,1.0569025222135632e-05,0.00029215212091011016,0.5225375626043406,9.975715804176269e-05,0.0004072355335937645,1.2684683209306325e-05,0.0004199202168030708,0.8781302170283807,9.611061676826076e-05,0.0002803646554110947,1.7184210957629166e-05,0.0002975488663687239,0.8664440734557596
0.0001,10,32,0.015588497047853936,2.023975730153227e-05,2.13544602266649e-05,6.72311371189314e-05,0.00020494960444591273,1.763767512352949e-05,0.00022258727956944222,0.6844741235392321,5.26935736018719e-05,0.00012152334732625097,1.2027040666230918e-05,0.00013355038799248189,0.8998330550918197,4.497126207803568e-05,0.00010911118590208911,1.1012884450979263e-05,0.00012012407035306837,0.9348914858096828
0.0001,10,33,0.026487010030037034,0.0001300639555077976,0.0001376840848686571,7.949542717920497e-05,0.00028488313176826843,1.2015400559690186e-05,0.0002968985323279586,0.5943238731218697,0.00012597421137420156,0.0003897931433826817,2.2565601904293193e-05,0.00041235874528697486,0.8731218697829716,0.00012500424792567552,0.00038797228761139324,1.4171475655847016e-05,0.00040214376326724025,0.8764607679465777
0.0001,10,36,0.01963765123487999,0.00033763985738655133,0.0003592671365713442,6.732589530147098e-05,0.00013410849475010265,1.9095496775853163e-05,0.0001532039915259558,0.662771285475793,8.955290143322854e-05,0.00023516515724775897,1.99885907233551e-05,0.00025515374797111407,0.8764607679465777,6.76842979824207e-05,0.00017225031990966295,1.2145645791759794e-05,0.00018439596570142276,0.8914858096828047
