family,method,p1_true,p2_true,tau_true,J,rep,obs,secs,acc,ess_p2,ess_tau,p1,p1_cilen,p1_cov,p2,p2_cilen,p2_cov,tau,tau_cilen,tau_cov
rnn,RNN-ABC,0.0001,0.01,7.0,100,7,0.23817601646814418,1.9776339530944824,0.10736912304101368,7.937996335173905,8.14298259550826,0.0019877670007838236,0.013435717829681502,1,0.013508553844961232,0.03498264773286574,1,7.160359692881762,9.056549224742996,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,2,0.2433066118770664,2.002411127090454,0.11703901300433478,6.541797911754743,6.121989817692034,0.0018582230430354394,0.01638535959962812,1,0.012584652823630488,0.03440933720078344,1,6.572061892520731,9.073813086991152,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,6,0.2399871276672819,1.9717462062835693,0.12237412470823608,8.789776137496718,13.903265168319404,0.0046627067257408415,0.030936485344677172,1,0.010819049265405585,0.04475168520025783,1,6.982882956670617,7.52641711820232,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,5,0.24449183792662063,1.9885268211364746,0.1353784594864955,9.594719609602219,15.045661252475881,0.0036848316507845326,0.025809936972288304,1,0.0063896158164758726,0.016045213182589054,1,5.185865062596979,8.540764026826611,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,3,0.2438129332118521,2.02248215675354,0.15405135045015006,9.943053597551838,13.661900540996593,0.007968593951706163,0.03845687240360161,1,0.002660480385434555,0.006069959988221994,0,4.6712584862424595,9.36739124744011,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,4,0.24280340192721586,2.0240283012390137,0.1300433477825942,7.943803292254718,11.600157775817252,0.0039953947981973045,0.028743775893810625,1,0.005586898781348553,0.013661121965126415,1,5.642063150279934,9.025230717320419,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,10,0.24573396344676332,2.059448003768921,0.13437812604201402,3.8829338745120197,22.295838924858074,0.003961363690354377,0.023150305646773017,1,0.005181665730139189,0.018586156414373806,1,6.3609520467300085,7.7451882533395695,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,11,0.24009056852942695,2.029247999191284,0.14038012670890296,9.878632919073434,15.421160128720203,0.011100160026769584,0.04004069959751598,0,0.0003383442726095262,0.003275315124472509,0,7.2667578637217325,6.816332715571699,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,8,0.24085805816900646,2.109879970550537,0.14438146048682896,4.4333149106691785,16.430216058468044,0.004572863878522965,0.021036886078793983,1,0.004201722133286225,0.017007058073841997,1,6.112242667658004,9.388765643124772,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,9,0.2354497050246949,2.1539199352264404,0.16372124041347116,12.830942567399639,8.569669209708087,0.008088950993289462,0.03217082224110301,1,0.00308043013813118,0.007011913427424845,0,5.058766381301288,8.873715570217424,1
