p_true,a,delta,J,rep,obs,MOM,MLE,ABC-MCMC,ABC-MCMC_cilen,ABC-MCMC_cilo,ABC-MCMC_cihi,ABC-MCMC_acc,GPS-ABC,GPS-ABC_cilen,GPS-ABC_cilo,GPS-ABC_cihi,GPS-ABC_acc,DNN-ABC,DNN-ABC_cilen,DNN-ABC_cilo,DNN-ABC_cihi,DNN-ABC_acc
0.001,1.0,0.5,100,0,0.04944288811585805,0.0002931574784311719,0.00031479896966579187,0.0010532787489962567,0.0005216163327474276,0.0008194273651105171,0.0013410436978579447,0.41736227045075125,0.0011593985041702685,0.002292381396600539,0.0003012995501071346,0.0025936809467076733,0.7979966611018364,0.0010614254805578645,0.0006323470188769698,0.0007697689850543368,0.0014021160039313066,0.4607679465776294
0.001,1.0,0.5,100,1,0.04715681261206028,0.00028004497006878237,0.000301009353534935,0.0009222710528384704,0.0006294490139080595,0.000659356775046018,0.0012888057889540775,0.42070116861435725,0.000904107638386576,0.0016857350783781575,0.0003013924584619565,0.001987127536840114,0.7963272120200334,0.00092725502131307,0.0006844499213055293,0.0006063329299235758,0.001290782851229105,0.46410684474123537
0.001,1.0,0.5,100,2,0.0465567134291051,0.000239057179604929,0.00025702260941524617,0.0009168691161085633,0.0007817812032317084,0.0006001105521604559,0.0013818917553921643,0.41736227045075125,0.0008140456513480341,0.0016119555345495162,0.0002882593135525857,0.001900214848102102,0.8013355592654424,0.0009246696450996446,0.0006535172464955967,0.0006235153146892075,0.0012770325611848041,0.5242070116861436
0.001,1.0,0.5,100,4,0.05161950937948297,0.00026840347445605817,0.00028816452192999904,0.0010501529235969764,0.0009476513290525418,0.0005449994935867758,0.0014926508226393177,0.4056761268781302,0.0010083098825101192,0.0023411794519597666,0.0002991403359235946,0.0026403197878833613,0.8247078464106845,0.001086574942605546,0.0006582528732197617,0.0007830432252901387,0.0014412960985099004,0.4958263772954925
0.001,1.0,0.5,100,15,0.051173752792362574,0.00030221402376751083,0.0003244210660096637,0.0010886223970873112,0.0007083783399829233,0.0007727998362215271,0.0014811781762044504,0.4090150250417362,0.0010221071975655713,0.0017094787042442625,0.0004238720741558437,0.002133350778400106,0.7946577629382304,0.001080651814923245,0.0005925109617640147,0.000813540906835641,0.0014060518685996557,0.46410684474123537
0.001,1.0,0.5,100,11,0.053254266051652024,0.0002818233078116239,0.00030284051855539786,0.0012088561911748757,0.000668815521991463,0.0008456254274599566,0.0015144409494514195,0.35225375626043404,0.0010511841618918052,0.0025579477639136104,0.00026186661438665253,0.002819814378300263,0.7796327212020033,0.0011573291189586122,0.0007619891242372473,0.0008509842838095223,0.0016129734080467695,0.5242070116861436
0.001,1.0,0.5,100,7,0.04818680204124287,0.00027799740210460167,0.00029832888954554074,0.000985276563930238,0.0007479058942755299,0.0006200569958103543,0.0013679628900858842,0.4323873121869783,0.0008536360284559877,0.0016683528988401472,0.00032560207554066333,0.0019939549743808105,0.7879799666110183,0.001001723020751407,0.0005630208282134777,0.0007391563560538737,0.0013021771842673514,0.4557595993322204
0.001,1.0,0.5,100,5,0.04630282690934169,0.00022706320120513546,0.0002437097994208588,0.0009103719593129332,0.0006716138826543779,0.0005581613430478212,0.0012297752257021991,0.3739565943238731,0.0008994466892632427,0.0020547463846331644,0.000320844839779025,0.002375591224412189,0.7863105175292153,0.0009336208132540445,0.0007941832738501979,0.0006192943752233063,0.0014134776490735042,0.5225375626043406
0.001,1.0,0.5,100,23,0.05662817987949221,0.0004090574662139468,0.0004395542397578573,0.0013746583602456885,0.0010806073693904231,0.0008407288034813916,0.0019213361728718146,0.4590984974958264,0.0012053532961477762,0.002209442585605524,0.00046476092572105953,0.0026742035113265835,0.7929883138564274,0.0013235846999022762,0.0009044776169791434,0.000932807558873597,0.0018372851758527405,0.4674457429048414
0.001,1.0,0.5,100,6,0.04584092090745117,0.00025756455214226426,0.000276655753099787,0.0008914336476243915,0.0005486129254996941,0.0006298225961959986,0.0011784355216956928,0.4557595993322204,0.0010276646573229525,0.001972576254345043,0.0003949753150873551,0.0023675515694323982,0.8163606010016694,0.0008918988772734521,0.0007216262751175719,0.0005657917176237011,0.001287417992741273,0.4991652754590985
