p1_true,p2_true,tau_true,J,rep,obs,GPS-ABC_secs,GPS-ABC_acc,GPS-ABC_p1,GPS-ABC_p1_cilen,GPS-ABC_p1_cov,GPS-ABC_p2,GPS-ABC_p2_cilen,GPS-ABC_p2_cov,GPS-ABC_tau,GPS-ABC_tau_cilen,GPS-ABC_tau_cov,GPS-ABC_ess_p2,GPS-ABC_ess_tau,GPS-ABC-ref_secs,GPS-ABC-ref_acc,GPS-ABC-ref_p1,GPS-ABC-ref_p1_cilen,GPS-ABC-ref_p1_cov,GPS-ABC-ref_p2,GPS-ABC-ref_p2_cilen,GPS-ABC-ref_p2_cov,GPS-ABC-ref_tau,GPS-ABC-ref_tau_cilen,GPS-ABC-ref_tau_cov,GPS-ABC-ref_ess_p2,GPS-ABC-ref_ess_tau,DNN-ABC_secs,DNN-ABC_acc,DNN-ABC_p1,DNN-ABC_p1_cilen,DNN-ABC_p1_cov,DNN-ABC_p2,DNN-ABC_p2_cilen,DNN-ABC_p2_cov,DNN-ABC_tau,DNN-ABC_tau_cilen,DNN-ABC_tau_cov,DNN-ABC_ess_p2,DNN-ABC_ess_tau
0.0001,0.01,7.0,100,4,0.5109267189945548,1.670511245727539,0.3741247082360787,0.0056148124210753545,0.027456889358839113,1,0.006908182287580485,0.026350121570112992,1,5.7249779812023,9.264345234175444,1,15.958433821255332,24.999135288808755,1.7460780143737793,0.8242747582527509,0.004191842239700568,0.027746508098246723,1,0.006000222571201966,0.02915418158594102,1,5.387436383319435,9.330610883166353,1,29.566868091227217,65.44838238846037,1.5914669036865234,0.11437145715238413,0.002314049995282052,0.009371034877388735,1,0.0104365065531541,0.03299156954686303,1,6.81104569852063,7.716782150359875,1,9.710404871926617,12.529738963495792
0.0001,0.01,7.0,100,5,0.5070283296193577,1.6921699047088623,0.3284428142714238,0.008186088399181517,0.03252121771778507,1,0.005492940391395373,0.037740212548158694,1,7.087465268001298,7.538087494045399,1,5.26959231065479,62.64289772132084,1.739715814590454,0.8589529843281094,0.0039769614117434165,0.028904461090655777,1,0.0034194970098410716,0.0204724167931082,1,5.9737392717849,9.123674988271226,1,34.61234827082256,77.13321262033317,1.5637190341949463,0.14671557185728576,0.007015582487669711,0.033182861811699355,0,0.00631781748380453,0.015140615473018353,1,5.926494930520452,8.28689550587076,1,21.824693926897314,12.770090423362042
0.0001,0.01,7.0,100,6,0.5072444311077183,1.6978211402893066,0.30776925641880626,0.006903354574003973,0.028499057057184387,1,0.0053930993459757985,0.025577899858426446,1,6.176399036648585,9.328132225902126,1,7.729699009189331,30.6598438785495,1.7113428115844727,0.8612870956985662,0.003688977968235849,0.028650652050108402,1,0.0026561613526322157,0.016890141715775107,1,5.489387582181559,9.14227030525971,1,18.393358941827778,56.97553351269766,1.5650370121002197,0.15938646215405136,0.007658156237248909,0.04241624634359871,1,0.005182832241190156,0.020883114141649204,1,6.1800942583854495,8.727965608483483,1,10.262411522024836,14.334355734288835
0.0001,0.01,7.0,100,7,0.5120427404549356,1.6905710697174072,0.3757919306435478,0.0045521082178150716,0.023459755292100544,1,0.0074261352983940355,0.02941848489420746,1,5.766706701136822,9.064441436773242,1,26.63710615534075,24.44263304193405,1.7164201736450195,0.8269423141047015,0.004883938348916878,0.03388299400085761,1,0.005586715454907501,0.02964221323578255,1,5.609356150856704,9.148972666204646,1,18.089765791292987,46.43164984260234,1.5587079524993896,0.11670556852284095,0.002717630347828331,0.026189698436560573,1,0.014913461489803468,0.043000099975398685,1,7.541461039359597,6.52858116984663,1,13.043290967460718,17.67579398471688
0.0001,0.01,7.0,100,8,0.5060475959675133,1.7042210102081299,0.3401133711237079,0.006646570803829292,0.038203787922929076,1,0.005882275867033285,0.03085854737891105,1,5.896077809686596,9.437160332970016,1,3.8723539767017328,21.704588777723846,1.7029292583465576,0.8496165388462821,0.004232662562442451,0.03197838856574428,1,0.005067285412556478,0.02807148897449056,1,5.557251974558052,9.12445591924958,1,25.437316823646217,39.158948363540546,1.563858985900879,0.14538179393131043,0.007499603467607174,0.03702004998118572,1,0.0069618550614011605,0.03998602412010592,1,5.543575543136278,8.810679330365648,1,7.925576610949311,12.265910907722208
0.0001,0.01,7.0,100,9,0.5067964630974866,1.6594672203063965,0.33644548182727574,0.008056196694274558,0.041430358404550345,1,0.007785497941353572,0.03793203963783501,1,6.1001375832555444,9.185867724478651,1,4.878707906855809,24.579938864339145,1.7019951343536377,0.8369456485495165,0.005898547295589851,0.03798457470086628,1,0.004504248919277633,0.020681550764475427,1,5.570826038660504,9.182352759424887,1,18.09938585999233,86.84771314101205,1.5732898712158203,0.1407135711903968,0.005951792666184135,0.030578450899131426,1,0.006353319549819432,0.022933568189658544,1,5.788023458620624,9.107010414005199,1,4.726480370498124,7.3449525931584985
0.0001,0.01,7.0,100,10,0.500843187364011,1.6811628341674805,0.3324441480493498,0.00815537599273198,0.036255303181001855,1,0.0037880946320675885,0.012268380816640874,1,5.1339952931043715,9.1543058218724,1,15.3860993217783,27.53911532522675,1.6491813659667969,0.835945315105035,0.004436151919693741,0.03491797754889761,1,0.004415551907919912,0.02718113581155684,1,5.647406963866801,9.061151138609478,1,15.141882656797346,66.67286971446013,1.562345027923584,0.13437812604201402,0.013795385950940766,0.04875797327767659,0,0.0026612502889848894,0.01333340402040274,1,6.499712147931042,7.590276527994936,1,3.908200984502463,28.870614691528292
0.0001,0.01,7.0,100,12,0.5104511436598362,1.6762239933013916,0.32144048016005333,0.008058431191334219,0.032791518550759166,1,0.0042963519309318675,0.027758828274686925,1,6.889347599729671,8.65857853979845,1,3.8803232343627316,40.492489996494186,1.7046260833740234,0.8436145381793931,0.005570246388068984,0.03280137369502991,1,0.00350567648258759,0.02478329202988709,1,6.304425547919521,8.864332033327697,1,22.472518894981093,102.60533901051261,1.5547478199005127,0.1460486828942981,0.003009924565434486,0.02286285570014243,1,0.00854202001776584,0.031055304740078296,1,4.361195205615033,8.857873928942261,1,17.782906261174553,18.366428970961184
0.0001,0.01,7.0,100,11,0.5135303752039121,1.7475090026855469,0.3581193731243748,0.005793276300631892,0.03110321394254735,1,0.006551190864140622,0.026835854356172528,1,5.349584572139545,9.383575108844223,1,14.37634426255618,41.06821754998153,1.7067346572875977,0.8429476492164054,0.004920471872592784,0.034887113559293755,1,0.004105385855464758,0.025354637138294715,1,5.654940740586273,9.343022571804708,1,20.742666495287637,42.60026217401554,1.5549030303955078,0.14638212737579193,0.004966773863127344,0.025225292109892047,1,0.004744906599668964,0.018563231419633862,1,4.639425583959141,9.111077389561444,1,7.628572913106592,7.647366845446877
0.0001,0.01,7.0,100,13,0.5090130333998579,1.6989359855651855,0.3484494831610537,0.007586783987547936,0.04154055952977945,1,0.005683760788334265,0.025979244706394036,1,5.504857452302439,9.100255596669548,1,7.835761886737623,17.751772872659334,1.695094108581543,0.8519506502167389,0.0035393882873007636,0.028438235346448525,1,0.003927508869913066,0.021892212049704353,1,5.8920680523781215,9.156809584461595,1,30.382746126764108,91.66314302323195,1.6025919914245605,0.14871623874624876,0.007400697701687338,0.03770522750422929,1,0.0065199786346148165,0.031245018516757535,1,5.100755853311828,9.301801011951069,1,23.43197554821978,23.809039657638483
