p1_true,p2_true,tau_true,J,rep,obs,GPS-ABC_secs,GPS-ABC_acc,GPS-ABC_p1,GPS-ABC_p1_cilen,GPS-ABC_p1_cov,GPS-ABC_p2,GPS-ABC_p2_cilen,GPS-ABC_p2_cov,GPS-ABC_tau,GPS-ABC_tau_cilen,GPS-ABC_tau_cov,GPS-ABC_ess_p2,GPS-ABC_ess_tau,GPS-ABC-ref_secs,GPS-ABC-ref_acc,GPS-ABC-ref_p1,GPS-ABC-ref_p1_cilen,GPS-ABC-ref_p1_cov,GPS-ABC-ref_p2,GPS-ABC-ref_p2_cilen,GPS-ABC-ref_p2_cov,GPS-ABC-ref_tau,GPS-ABC-ref_tau_cilen,GPS-ABC-ref_tau_cov,GPS-ABC-ref_ess_p2,GPS-ABC-ref_ess_tau,DNN-ABC_secs,DNN-ABC_acc,DNN-ABC_p1,DNN-ABC_p1_cilen,DNN-ABC_p1_cov,DNN-ABC_p2,DNN-ABC_p2_cilen,DNN-ABC_p2_cov,DNN-ABC_tau,DNN-ABC_tau_cilen,DNN-ABC_tau_cov,DNN-ABC_ess_p2,DNN-ABC_ess_tau,NPE_secs,NPE_acc,NPE_p1,NPE_p1_cilen,NPE_p1_cov,NPE_p2,NPE_p2_cilen,NPE_p2_cov,NPE_tau,NPE_tau_cilen,NPE_tau_cov,NPE_ess_p2,NPE_ess_tau
0.0001,0.01,3.0,100,12,0.600961322895509,1.8726701736450195,0.4088029343114371,0.0071984783187634,0.0307152240806835,1,0.0095901980274003,0.0276376016378327,1,5.167685352950566,9.46227648743397,1,8.176791373646461,8.882844717549897,1.9285666942596436,0.7565855285095031,0.0076059451133361,0.0386019483946577,1,0.0085561018905231,0.0354011670615043,1,6.130405686689062,8.830864203889664,1,13.3104387710436,53.23948727982704,1.5973458290100098,0.1527175725241747,0.0056162668551757,0.0254723272925891,1,0.0113864483076754,0.0367606543354739,1,4.267403145526341,9.234378818384837,1,15.14632890373868,10.337183566887424,0.0013840198516845703,1.0,0.0074777728877961636,0.03419608158101254,1,0.010145084001123905,0.03580714702784456,1,5.3174357414245605,8.863688775897025,1,1793.322445135622,1926.3695121214462
0.0001,0.01,3.0,100,13,0.5997208056376414,1.8742501735687256,0.3687895965321774,0.0117677577497465,0.0425534614227064,1,0.0083696335158506,0.0335823364133581,1,6.262735005172923,9.065186816453904,1,4.601847390720314,37.692932909855486,1.9132678508758545,0.7782594198066022,0.0063017679964481,0.0338471995204032,1,0.0094861184343634,0.0376063218062916,1,6.256028825470265,8.874474963793041,1,18.12108546930112,93.30708640631146,1.6158180236816406,0.1417139046348783,0.0092773851855094,0.0413134012117714,1,0.0115754050643688,0.0425339645283454,1,6.113314819327311,9.109604927706297,1,7.946031380765959,13.425750006733102,0.0014119148254394531,1.0,0.007719940040260553,0.03397540744085745,1,0.009980536997318268,0.03346274282348529,1,5.339728355407715,8.607293236255646,1,2000.0,1908.8050825411149
0.0001,0.01,3.0,100,14,0.5876536266618331,1.8625199794769287,0.3584528176058686,0.0077000950366259,0.0396244504800031,1,0.0102659011482043,0.0382066367313788,1,5.355333819815595,8.857071171870736,1,8.425996792097028,40.491935591009856,1.8155970573425293,0.7859286428809603,0.0066600995420417,0.0336042213793319,1,0.0077387292961026,0.0305474477945591,1,6.016310633013517,9.003736655797677,1,23.604252422989884,73.19916996144399,1.622230052947998,0.1427142380793598,0.0095029495624413,0.0427042688967338,1,0.0075671987917795,0.0218761612842451,1,5.180111586694245,9.288177415320323,1,9.645231532871891,15.21890286239054,0.001413106918334961,1.0,0.007117829285562038,0.032182339025484896,1,0.009387058205902576,0.03225591551663455,1,5.255247116088867,8.699734653532504,1,2000.0,1930.7135667604819
0.0001,0.01,3.0,100,15,0.6013825814982657,1.9282307624816897,0.3941313771257085,0.0072900801237211,0.0319338949563002,1,0.0112140584332642,0.0408308828221566,1,5.842725197859847,9.077545875009816,1,4.872976182413024,17.787920128392983,1.7752628326416016,0.7525841947315772,0.0064992991109249,0.0389805794356549,1,0.0112118793755236,0.0425124762460657,1,6.419401013090957,8.788053759732698,1,8.179891071084548,105.21611617289751,1.6269199848175049,0.1420473491163721,0.0030309462646657,0.0286554051415443,1,0.0139834010351191,0.0390449591503072,1,4.446861485462619,8.661015021262864,1,13.878383885493449,11.801484747808852,0.0017762184143066406,1.0,0.007585634011775255,0.03382943622023046,1,0.010189835913479328,0.032899753026549655,1,5.337618350982666,8.830064338445663,1,2000.0,1931.7059168445667
0.0001,0.01,7.0,100,0,0.5099504817636846,1.96777081489563,0.3671223741247082,0.0034524573976651,0.023218149037813,1,0.0087109579493363,0.0354558235396686,1,5.660619221557485,9.280333906673803,1,29.67904240548636,24.52564745589426,1.7567110061645508,0.8209403134378126,0.0046839838680272,0.0301262480727253,1,0.0051388743721218,0.0317974480704748,1,6.100546369148795,9.08816334666164,1,24.24899383856619,106.81695639409124,1.6758217811584473,0.1347115705235078,0.0044480894455248,0.0316857331527931,1,0.0062470955730435,0.0187584045845035,1,4.835916839431462,8.828761974605074,1,18.650730622934883,17.680903118311026,0.0015606880187988281,1.0,0.00573586905375123,0.029367769027157903,1,0.006164951715618372,0.024897022539380476,1,5.496943950653076,8.700962914526459,1,2000.0,1645.4400986007618
0.0001,0.01,7.0,100,2,0.5076115954094989,1.895236253738403,0.3331110370123374,0.0088781792421538,0.0410431398595274,1,0.0068369803494086,0.0358060133518366,1,5.85501978442658,9.060053827759909,1,7.295125086731726,14.555612893523389,1.757028102874756,0.8546182060686895,0.0037289520469877,0.0285108759317053,1,0.0022579522909065,0.0173252824763806,1,6.141875954532759,9.01469499632626,1,30.662312825173647,107.74954118281242,1.5932397842407229,0.1493831277092364,0.0078374571572671,0.039308064710778,1,0.0072623101165416,0.0263431584000229,1,4.611665674052338,9.233351897402953,1,7.494889802165895,9.135322976317422,0.001767873764038086,1.0,0.005735467188060284,0.028806855128868835,1,0.006113806739449501,0.024289928072130335,1,5.455723762512207,8.82947471141815,1,1735.6831062119227,2000.0
0.0001,0.01,7.0,100,1,0.5022903847702902,1.9595117568969729,0.3431143714571524,0.006591706839364,0.0377701119407067,1,0.0062076744547257,0.02797980955226,1,4.713357385235355,9.20729730235456,1,11.679227308148414,27.237521113989654,1.82137131690979,0.8559519839946649,0.004242501939202,0.0291188412434579,1,0.0041154652650745,0.0227061022465363,1,5.613335096958983,9.11831810138536,1,19.01027076998441,113.1889748355538,1.662442922592163,0.1533844614871624,0.0117967576634173,0.0454349709390255,1,0.0035224313566676,0.0245951325989005,1,5.668914034414956,9.016875048923728,1,3.4130196040204903,12.150406382978568,0.001421213150024414,1.0,0.005357612855732441,0.029478127735364942,1,0.005939198657870293,0.023229279165798263,1,5.5204243659973145,8.75772480368614,1,1918.8848783220917,2000.0
0.0001,0.01,7.0,100,3,0.5124711313034277,1.8861169815063477,0.3234411470490163,0.0079802664972321,0.0422225345642102,1,0.0046980474169474,0.0264242984231351,1,5.623781100373191,9.396055660597572,1,7.203114944977,20.083669333137053,1.7797369956970217,0.843947982660887,0.0045108319236126,0.0307604277821951,1,0.0054181379656673,0.0266342555608303,1,5.687651775196335,9.120902587792711,1,20.135273789197363,66.25815180152857,1.6590490341186523,0.1657219073024341,0.0034989449134902,0.0185606075996227,1,0.0075885322511071,0.0246841131809258,1,4.719586558141782,9.19990702009976,1,27.206750317641223,18.11334203924411,0.0016357898712158203,1.0,0.005407172255218029,0.029574553558768448,1,0.0062540131621062756,0.024986664890820964,1,5.452869892120361,8.724435375630856,1,1948.593128127174,1925.4448067538863
0.0001,0.01,7.0,100,4,0.5109267189945548,1.899947166442871,0.3741247082360787,0.0056148124210753,0.0274568893588391,1,0.0069081822875804,0.0263501215701129,1,5.7249779812023,9.264345234175444,1,15.958433821255332,24.999135288808755,1.865551233291626,0.8242747582527509,0.0041918422397005,0.0277465080982467,1,0.0060002225712019,0.029154181585941,1,5.387436383319435,9.330610883166353,1,29.566868091227217,65.44838238846037,1.641129970550537,0.1143714571523841,0.002314049995282,0.0093710348773887,1,0.0104365065531541,0.032991569546863,1,6.81104569852063,7.716782150359875,1,9.710404871926617,12.529738963495792,0.0015780925750732422,1.0,0.005935704335570335,0.02834546081267034,1,0.005900810472667217,0.023731803523651156,1,5.515729904174805,8.717437268793583,1,2000.0,1824.910345181355
0.0001,0.01,7.0,100,5,0.5070283296193577,1.863271951675415,0.3284428142714238,0.0081860883991815,0.032521217717785,1,0.0054929403913953,0.0377402125481586,1,7.087465268001298,7.538087494045399,1,5.26959231065479,62.64289772132084,1.8371922969818115,0.8589529843281094,0.0039769614117434,0.0289044610906557,1,0.003419497009841,0.0204724167931082,1,5.9737392717849,9.123674988271226,1,34.61234827082256,77.13321262033317,1.675732135772705,0.1467155718572857,0.0070155824876697,0.0331828618116993,0,0.0063178174838045,0.0151406154730183,1,5.926494930520452,8.28689550587076,1,21.82469392689731,12.770090423362042,0.0016062259674072266,1.0,0.005698269698768854,0.028963685571306984,1,0.006048192270100117,0.02407323695929331,1,5.579282283782959,8.713620802760122,1,2000.0,2000.0
