p_true,J,rep,obs,MOM,MLE,ABC-MCMC,ABC-MCMC_cilen,ABC-MCMC_acc,GPS-ABC,GPS-ABC_cilen,GPS-ABC_acc,DNN-ABC,DNN-ABC_cilen,DNN-ABC_acc
0.0001,50,37,0.018874779699403724,4.8322779168663565e-05,5.108951049803386e-05,6.399993369544997e-05,0.00011895931525991091,0.5709515859766278,6.574879231190973e-05,9.093907524788272e-05,0.6510851419031719,7.15645886114243e-05,0.00010309773062445372,0.7145242070116862
0.0001,50,36,0.019515025713620616,4.8490824490932116e-05,5.1208455703100867e-05,5.5948964112748146e-05,0.00011269903475868664,0.46410684474123537,7.449829893418389e-05,8.19651804392277e-05,0.654424040066778,6.601771353503163e-05,7.756698828464078e-05,0.7245409015025042
0.0001,100,1,0.027103288773649523,9.848822839808591e-05,0.00010400424773308127,0.0001303498165373808,0.00016171665065108803,0.5308848080133556,0.00014495516191989562,0.00017973752036601681,0.666110183639399,0.00013081509398058178,0.0001820397110042654,0.6844741235392321
0.0001,100,9,0.028989255720432414,7.167402990898575e-05,7.569575206354811e-05,0.00014818055473459683,0.00017826253822499972,0.5692821368948247,0.0001556657896128045,0.0001921248564680576,0.6911519198664441,0.00014962326558198,0.00015998408964615766,0.657762938230384
0.0001,100,0,0.02608581965625215,0.00021499216150716594,0.0002272843039931794,0.00012360626836635275,0.0001548933878598634,0.5308848080133556,0.00012716193216340106,0.00013408644170490776,0.654424040066778,0.00011256512493259608,0.00014359722798198344,0.7028380634390651
0.0001,100,7,0.023185256261668407,9.036820492852593e-05,9.542145764283841e-05,9.555076214125431e-05,0.0001634090930315523,0.4941569282136895,0.00010281645758734455,0.00012519850652139376,0.7212020033388982,0.00010470714153717987,0.00010755405805084668,0.7028380634390651
0.0001,100,3,0.021222583289047362,0.00010808977730691893,0.00011428472853835957,9.101366770990763e-05,0.0001172313548142499,0.5075125208681135,8.561890642393293e-05,9.616704489448425e-05,0.667779632721202,8.503035273517103e-05,9.653290572830857e-05,0.6828046744574291
0.0001,100,4,0.027051671222214798,0.00012468322779146668,0.00013163827040627094,0.00012886742556564608,0.00017318193974911607,0.5709515859766278,0.00013853414934813125,0.00016876917417243823,0.654424040066778,0.00014454612741318337,0.00015667000151619996,0.6844741235392321
0.0001,100,8,0.0272218071951639,0.0001724302527405519,0.00018212644432451475,0.00013505826123953998,0.00015380338278236285,0.5609348914858097,0.00014552555114200874,0.0002262254301181929,0.7161936560934892,0.00012736696583799374,0.000136181510386364,0.671118530884808
0.0001,100,12,0.029454556437639196,0.00034693920434364367,0.0003671618673298215,0.0001742744584812232,0.0001699633959589979,0.5191986644407346,0.00016576519235618988,0.00015249423952732168,0.672787979966611,0.00015370444582151816,0.00018072730249794883,0.6944908180300501
0.0001,100,2,0.02200073860556976,6.929156816326554e-05,7.327454863387584e-05,8.885667454164696e-05,0.00012538685545333936,0.49081803005008345,0.00010466717254849378,0.00018565277844239306,0.6944908180300501,9.1564592375638e-05,9.829753278637875e-05,0.7629382303839732
